epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1879.27,1.02222,1.98463,1.6955,0.50655,0.64668,0.64408,0.49003,1.00805,1.48761,1.80339,0.002674,0.002674,0.002674
76,1904.25,1.01824,1.96265,1.68828,0.49521,0.66204,0.66314,0.48746,1.09396,1.41481,1.87088,0.002575,0.002575,0.002575
77,1929.7,1.04063,1.97593,1.70143,0.66013,0.64146,0.72958,0.5468,1.07809,1.31451,1.86027,0.002476,0.002476,0.002476
78,1955.41,0.98563,1.90702,1.6553,0.51234,0.6103,0.58916,0.44541,1.00148,1.4692,1.81272,0.002377,0.002377,0.002377
79,1980.82,0.9963,1.93207,1.67107,0.5905,0.67984,0.71399,0.55705,0.94107,1.31519,1.72849,0.002278,0.002278,0.002278
80,2006.33,1.01935,1.94192,1.67165,0.53919,0.60695,0.68076,0.50793,1.06334,1.35272,1.87839,0.002179,0.002179,0.002179
81,2032.05,0.96776,1.88774,1.62744,0.53472,0.60882,0.68683,0.54249,0.87851,1.32158,1.64817,0.00208,0.00208,0.00208
82,2057.7,1.00709,1.88149,1.66014,0.66565,0.59151,0.67197,0.52463,0.97363,1.35816,1.76573,0.001981,0.001981,0.001981
83,2084.04,0.98972,1.87621,1.65135,0.60759,0.64482,0.72246,0.58165,0.94152,1.23372,1.71824,0.001882,0.001882,0.001882
84,2110.24,0.95404,1.87018,1.629,0.64086,0.59003,0.72409,0.56524,1.00245,1.30333,1.77976,0.001783,0.001783,0.001783
85,2136.13,0.9618,1.85181,1.63019,0.59914,0.67121,0.74296,0.56988,1.04438,1.25311,1.83253,0.001684,0.001684,0.001684
86,2162.28,0.97399,1.81544,1.628,0.68131,0.64011,0.76182,0.57557,1.09203,1.21988,1.90948,0.001585,0.001585,0.001585
87,2189.22,0.94679,1.8018,1.61478,0.64437,0.63004,0.74702,0.54351,1.15816,1.22497,2.04858,0.001486,0.001486,0.001486
88,2215.45,0.94224,1.78811,1.61081,0.76715,0.63355,0.77645,0.62573,0.94841,1.17899,1.72269,0.001387,0.001387,0.001387
89,2240.96,0.94019,1.78923,1.59424,0.68184,0.68351,0.7895,0.62473,0.973,1.16244,1.74065,0.001288,0.001288,0.001288
90,2266.31,0.9412,1.78635,1.60042,0.67791,0.70674,0.80311,0.634,0.95922,1.14391,1.73444,0.001189,0.001189,0.001189
91,2292.63,0.75252,1.20858,1.53497,0.69898,0.68635,0.79067,0.61961,0.93552,1.15263,1.73909,0.00109,0.00109,0.00109
92,2316.44,0.69671,1.09288,1.47235,0.72509,0.67798,0.80679,0.63461,0.91154,1.11709,1.70338,0.000991,0.000991,0.000991
93,2340.33,0.7,1.0481,1.47244,0.76307,0.68807,0.82432,0.62089,1.01936,1.06042,1.8465,0.000892,0.000892,0.000892
94,2363.87,0.66784,1.02977,1.44418,0.75229,0.69432,0.82637,0.65846,0.91647,1.02509,1.68313,0.000793,0.000793,0.000793
95,2387.3,0.66643,0.98999,1.42732,0.77039,0.72117,0.84345,0.65251,1.00285,1.06366,1.83762,0.000694,0.000694,0.000694
96,2410.95,0.64663,0.97214,1.4132,0.79863,0.7098,0.84267,0.66249,0.92213,0.98665,1.72179,0.000595,0.000595,0.000595
97,2434.44,0.64397,0.95594,1.40338,0.76809,0.66921,0.84245,0.66523,0.93149,1.04531,1.72014,0.000496,0.000496,0.000496
98,2458.49,0.61729,0.91198,1.38283,0.76557,0.73639,0.85165,0.69217,0.86427,0.9641,1.63831,0.000397,0.000397,0.000397
99,2482.2,0.62252,0.88855,1.37294,0.79341,0.73981,0.85601,0.67849,0.9128,0.95446,1.72413,0.000298,0.000298,0.000298
100,2505.96,0.61079,0.89803,1.37516,0.82076,0.74457,0.87604,0.70076,0.89643,0.93152,1.70194,0.000199,0.000199,0.000199
