epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1724.05,0.98418,1.19742,1.35414,0.88556,0.94489,0.96037,0.75615,0.88678,0.59916,1.30502,0.000116668,0.000116668,0.000116668
70,1749.3,1.009,1.24357,1.38353,0.88833,0.94594,0.95952,0.7583,0.87741,0.61127,1.29435,0.000113133,0.000113133,0.000113133
71,1774.56,0.99941,1.21534,1.37065,0.88713,0.93549,0.96524,0.76449,0.8652,0.57999,1.28987,0.000109599,0.000109599,0.000109599
72,1799.97,0.98733,1.21992,1.36187,0.87862,0.94607,0.95396,0.76664,0.83542,0.57252,1.26218,0.000106065,0.000106065,0.000106065
73,1825.19,0.97509,1.18365,1.35893,0.88714,0.96276,0.96542,0.7767,0.83376,0.54785,1.26515,0.00010253,0.00010253,0.00010253
74,1850.51,0.99383,1.18961,1.36211,0.8917,0.94382,0.95454,0.77187,0.8207,0.56289,1.25463,9.89961e-05,9.89961e-05,9.89961e-05
75,1875.84,0.98827,1.17615,1.3528,0.91867,0.93779,0.96636,0.74891,0.91612,0.56057,1.32265,9.54618e-05,9.54618e-05,9.54618e-05
76,1901.12,0.99255,1.17622,1.35013,0.90622,0.94671,0.96237,0.7782,0.83118,0.54641,1.26792,9.19275e-05,9.19275e-05,9.19275e-05
77,1926.42,0.97233,1.16308,1.34669,0.89089,0.96669,0.95992,0.76562,0.85536,0.55923,1.2755,8.83932e-05,8.83932e-05,8.83932e-05
78,1951.68,0.97808,1.19062,1.35998,0.89429,0.95397,0.95802,0.76451,0.8401,0.55146,1.26524,8.48589e-05,8.48589e-05,8.48589e-05
79,1976.94,0.96273,1.17241,1.34724,0.88829,0.95609,0.96229,0.76558,0.85982,0.54546,1.27851,8.13246e-05,8.13246e-05,8.13246e-05
80,2002.26,0.98709,1.17299,1.35797,0.89038,0.95509,0.95859,0.73852,0.94087,0.56276,1.34809,7.77903e-05,7.77903e-05,7.77903e-05
81,2027.48,0.94432,1.1203,1.32474,0.91394,0.94769,0.96158,0.77256,0.85064,0.52754,1.26906,7.4256e-05,7.4256e-05,7.4256e-05
82,2052.66,0.95797,1.14673,1.34449,0.91481,0.95066,0.9654,0.7638,0.85957,0.52607,1.27431,7.07217e-05,7.07217e-05,7.07217e-05
83,2077.9,0.96952,1.17503,1.34534,0.91752,0.95917,0.96139,0.76438,0.86154,0.51546,1.27638,6.71874e-05,6.71874e-05,6.71874e-05
84,2103.21,0.95008,1.12176,1.33075,0.91545,0.93596,0.95997,0.76976,0.84527,0.52405,1.26465,6.36531e-05,6.36531e-05,6.36531e-05
85,2128.45,0.94735,1.10963,1.3303,0.89912,0.96582,0.96613,0.76883,0.868,0.5347,1.29209,6.01188e-05,6.01188e-05,6.01188e-05
86,2153.64,0.95629,1.13516,1.33214,0.91161,0.95805,0.96404,0.76788,0.86233,0.52399,1.27882,5.65845e-05,5.65845e-05,5.65845e-05
